targetId	diseaseId	datasourceId	year	novelty	score	sourceId	targetSymbol	targetName	targetBiotype	proteinId	isInMembrane	isSecreted	hasSafetyEvent	hasPocket	hasLigand	hasSmallMoleculeBinder	geneticConstraint	paralogMaxIdentityPercentage	mouseOrthologMaxIdentityPercentage	isCancerDriverGene	hasTEP	mouseKOScore	hasHighQualityChemicalProbes	maxClinicalTrialPhase	tissueSpecificity	tissueDistribution
ENSG00000204290	EFO_0003767	impc	2023	0.461	0.523	impc	BTNL2	butyrophilin like 2	protein_coding	Q9UIR0	0.0	0.0		0.0	0.0	0.0	0.45134403000625123	0.0	0.0			-0.042929926918176264				
ENSG00000079689	EFO_0003767	impc	2023	0.014	0.761	impc	SCGN	secretagogin, EF-hand calcium binding protein	protein_coding	O76038	0.0	0.0		0.0	0.0	0.0	0.5456345071889976	0.0	0.23913000000000012			-0.5757105661338946			0.5	0.0
ENSG00000145879	EFO_0003767	impc	2023	0.222	0.444	impc	SPINK7	serine peptidase inhibitor Kazal type 7	protein_coding	P58062	0.0	1.0		0.0	0.0	0.0	0.5554282142112941	0.0	0.0			0.0			0.5	0.5
ENSG00000149289	EFO_0003767	impc	2023	0.005	0.291	impc	ZC3H12C	zinc finger CCCH-type containing 12C	protein_coding	Q9C0D7	0.0	0.0		0.0	0.0	0.0	-0.8219420712648469	0.0	0.5979599999999998			-0.25143122941720414			-1.0	-1.0
ENSG00000164253	EFO_0003767	impc	2023	0.001	0.396	impc	WDR41	WD repeat domain 41	protein_coding	Q9HAD4	0.0	0.0		0.0	0.0	0.0	0.24557199416545106		0.0			-0.24108653635048632			-1.0	-1.0
ENSG00000019995	EFO_0003767	impc	2023	0.436	0.495	impc	ZRANB1	zinc finger RANBP2-type containing 1	protein_coding	Q9UGI0	0.0	0.0		0.0	0.0	0.0	-0.8309022713065222		0.9646900000000003			-0.6138653182289341			-1.0	-1.0
ENSG00000046604	EFO_0003767	impc	2023	0.002	0.901	impc	DSG2	desmoglein 2	protein_coding	Q14126	0.0	0.0		1.0	0.0	0.0	-0.1500312565117733	0.0	0.0			-0.9614928830201325			0.5	0.0
ENSG00000163362	EFO_0003767	impc	2023	0.001	0.505	impc	INAVA	innate immunity activator	protein_coding	Q3KP66	0.0	0.0		0.0	0.0	0.0	-0.2185872056678475	0.0	0.3771650000000001			-0.031038826058105984			0.5	0.0
ENSG00000183723	EFO_0003767	impc	2023	0.239	0.271	impc	CMTM4	CKLF like MARVEL transmembrane domain containing 4	protein_coding	Q8IZR5	1.0	0.0		0.0	0.0	0.0	-0.05240675140654305	0.0	0.7836550000000002			0.0			-1.0	-1.0
ENSG00000248385	EFO_0003767	impc	2023	0.153	0.305	impc	TARM1	T cell-interacting, activating receptor on myeloid cells 1	protein_coding	B6A8C7	1.0	0.0		0.0	0.0	0.0	0.6444050843925817	0.0	0.0			0.0			1.0	1.0
ENSG00000167755	EFO_0003767	impc	2023	0.001	0.252	impc	KLK6	kallikrein related peptidase 6	protein_coding	Q92876	0.0	1.0		0.0	1.0	1.0	0.15617837049385286	0.0	0.0			-0.2581001681870293			1.0	0.0
ENSG00000121380	EFO_0003767	impc	2023	0.006	0.32	impc	BCL2L14	BCL2 like 14	protein_coding	Q9BZR8	0.0	0.0		0.0	0.0	0.0	0.24067514065430307	0.0	0.0			0.0			0.5	0.5
ENSG00000147896	EFO_0003767	impc	2023	0.133	0.266	impc	IFNK	interferon kappa	protein_coding	Q9P0W0	0.0	1.0		0.0	0.0	0.0	0.9199833298603877	0.0	0.0			0.0				
ENSG00000060688	EFO_0003767	impc	2023	0.005	0.298	impc	SNRNP40	small nuclear ribonucleoprotein U5 subunit 40	protein_coding	Q96DI7	0.0	0.0		0.0	0.0	0.0	-0.6288810168785164	0.0	0.9159649999999999			-0.6962476606770598			-1.0	-1.0
ENSG00000254726	EFO_0003767	impc	2023	0.041	0.342	impc	MEX3A	mex-3 RNA binding family member A	protein_coding	A1L020	0.0	0.0		0.0	0.0	0.0	-0.8228797666180454	0.0	0.8461550000000002			-0.7251444661422912			0.5	0.5
ENSG00000106330	EFO_0003767	expression_atlas	2023	0.005	0.042	expression_atlas	MOSPD3	motile sperm domain containing 3	protein_coding	O75425	0.0	0.0		0.0	0.0	0.0	0.35767868305897066		0.40425499999999986			-0.8532126473045237			-1.0	-1.0
ENSG00000167107	EFO_0003767	expression_atlas	2023	0.002	0.216	expression_atlas	ACSF2	acyl-CoA synthetase family member 2	protein_coding	Q96CM8	0.0	0.0		0.0	0.0	0.0	-0.31350281308605965	0.0	0.0			-0.05905544609812324			0.5	-1.0
ENSG00000174358	EFO_0003767	expression_atlas	2023	0.004	0.53	expression_atlas	SLC6A19	solute carrier family 6 member 19	protein_coding	Q695T7	1.0	0.0		0.0	0.0	0.0	0.555949156074182	0.0	0.3375399999999999			-0.2916207943186422			0.75	0.5
ENSG00000203644	EFO_0003767	expression_atlas	2023	0.003	0.027	expression_atlas																				
ENSG00000210144	EFO_0003767	expression_atlas	2023	0.026	0.218	expression_atlas																				
ENSG00000086696	EFO_0003767	expression_atlas	2023	0.013	0.265	expression_atlas	HSD17B2	hydroxysteroid 17-beta dehydrogenase 2	protein_coding	P37059	0.0	0.0		0.0	1.0	1.0	0.7713065221921234	0.0	0.0			-0.8491824686062307	0.0		0.75	0.0
ENSG00000125534	EFO_0003767	expression_atlas	2023	0.024	0.198	expression_atlas	PPDPF	pancreatic progenitor cell differentiation and proliferation factor	protein_coding	Q9H3Y8	0.0	0.0		0.0	0.0	0.0	0.9674932277557824	0.0	0.0						-1.0	-1.0
ENSG00000132386	EFO_0003767	expression_atlas	2023	0.006	0.092	expression_atlas	SERPINF1	serpin family F member 1	protein_coding	P36955	0.0	1.0		0.0	0.0	0.0	0.3616378412169201	0.0	0.27033500000000005			-0.7851639461400408			1.0	-1.0
ENSG00000143520	EFO_0003767	expression_atlas	2023	0.001	0.033	expression_atlas	FLG2	filaggrin 2	protein_coding	Q5D862	0.0	0.0		0.0	0.0	0.0	0.945926234632215	0.0	0.0						1.0	0.5
ENSG00000147168	EFO_0003767	expression_atlas	2023	0.012	0.119	expression_atlas	IL2RG	interleukin 2 receptor subunit gamma	protein_coding	P31785	1.0	0.0		0.0	0.0	0.0	-0.8787247343196499	0.0	0.0			0.0		1.0	0.5	0.0
ENSG00000160539	EFO_0003767	expression_atlas	2023	0.005	0.044	expression_atlas	PLPP7	phospholipid phosphatase 7 (inactive)	protein_coding	Q8NBV4	0.0	0.0		0.0	0.0	0.0	0.4729110231298188	0.0	0.741695			-0.6825949336595513			0.75	0.0
ENSG00000187601	EFO_0003767	expression_atlas	2023	0.015	0.147	expression_atlas	MAGEH1	MAGE family member H1	protein_coding	Q9H213	0.0	0.0		0.0	0.0	0.0	0.5546988956032506	0.0	0.6347050000000003			0.0			1.0	-1.0
ENSG00000250320	EFO_0003767	expression_atlas	2023	0.002	0.123	expression_atlas																				
ENSG00000262879	EFO_0003767	expression_atlas	2023	0.003	0.021	expression_atlas																				
ENSG00000272221	EFO_0003767	expression_atlas	2023	0.004	0.031	expression_atlas																				
ENSG00000103044	EFO_0003767	expression_atlas	2023	0.001	0.073	expression_atlas	HAS3	hyaluronan synthase 3	protein_coding	O00219	0.0	0.0	-1.0	0.0	0.0	0.0	-0.6645134403000625	-0.23598500000000017	0.8553350000000002						0.5	0.0
ENSG00000111728	EFO_0003767	expression_atlas	2023	0.002	0.03	expression_atlas	ST8SIA1	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1	protein_coding	Q92185	0.0	0.0		0.0	0.0	0.0	-0.4617628672640134	0.0	0.5786499999999997			-0.015507592281687466			-1.0	0.0
ENSG00000119328	EFO_0003767	expression_atlas	2023	0.004	0.035	expression_atlas	ABITRAM	actin binding transcription modulator	protein_coding	Q9NX38	1.0	0.0		0.0	0.0	0.0	0.5888726818087102		0.2817700000000002			-0.6786049899026672			-1.0	-1.0
ENSG00000128335	EFO_0003767	expression_atlas	2023	0.002	0.105	expression_atlas	APOL2	apolipoprotein L2	protein_coding	Q9BQE5	0.0	0.0		0.0	0.0	0.0	0.8547614086267972	-0.043027499999999996	0.0			-0.022060910089015118			-1.0	-1.0
ENSG00000149485	EFO_0003767	expression_atlas	2023	0.001	0.151	expression_atlas	FADS1	fatty acid desaturase 1	protein_coding	O60427	0.0	0.0		0.0	1.0	1.0	-0.5674098770577203	0.0	0.0			-0.8505164142135224			-1.0	-1.0
ENSG00000163161	EFO_0003767	expression_atlas	2023	0.005	0.044	expression_atlas	ERCC3	ERCC excision repair 3, TFIIH core complex helicase subunit	protein_coding	P19447	0.0	0.0		0.0	0.0	0.0	-0.15430297978745577		0.7953949999999999	-1.0		-0.7879619315615785			-1.0	-1.0
ENSG00000164626	EFO_0003767	expression_atlas	2023	0.009	0.149	expression_atlas	KCNK5	potassium two pore domain channel subfamily K member 5	protein_coding	O95279	0.0	0.0		0.0	0.0	0.0	-0.4553031881642009	0.0	0.4689399999999999			-0.5907693915496134			0.5	0.0
ENSG00000172156	EFO_0003767	expression_atlas	2023	0.001	0.14	expression_atlas	CCL11	C-C motif chemokine ligand 11	protein_coding	P51671	0.0	1.0	-1.0	0.0	0.0	0.0	0.7911023129818713	-0.27835	0.0			0.0		0.5	0.5	0.0
ENSG00000176749	EFO_0003767	expression_atlas	2023	0.01	0.087	expression_atlas	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1	protein_coding	Q15078	0.0	0.0		0.0	1.0	1.0	-0.655032298395499	0.0	0.9185650000000003			-0.728092273089006			1.0	0.0
ENSG00000184831	EFO_0003767	expression_atlas	2023	0.004	0.03	expression_atlas	APOO	apolipoprotein O	protein_coding	Q9BUR5	0.0	1.0		0.0	0.0	0.0	-0.43592415086476344	0.0	0.06565500000000028			0.0			0.5	-1.0
ENSG00000229807	EFO_0003767	expression_atlas	2023	0.001	0.081	expression_atlas																-0.5173261297492578				
ENSG00000259230	EFO_0003767	expression_atlas	2023	0.005	0.058	expression_atlas																				
ENSG00000272218	EFO_0003767	expression_atlas	2023	0.008	0.088	expression_atlas																				
ENSG00000011295	EFO_0003767	expression_atlas	2023	0.008	0.066	expression_atlas	TTC19	tetratricopeptide repeat domain 19	protein_coding	Q6DKK2	0.0	0.0		0.0	0.0	0.0	0.25151073140237545		0.03947500000000019			0.0			-1.0	-1.0
ENSG00000168765	EFO_0003767	expression_atlas	2023	0.014	0.133	expression_atlas	GSTM4	glutathione S-transferase mu 4	protein_coding	Q03013	0.0	0.0		1.0	0.0	0.0	0.6952490102104605	-0.6674325	0.3578000000000003			0.0			0.5	-1.0
ENSG00000169223	EFO_0003767	expression_atlas	2023	0.01	0.083	expression_atlas	LMAN2	lectin, mannose binding 2	protein_coding	Q12907	0.0	0.0		0.0	0.0	0.0	0.02281725359449882	0.0	0.7471899999999998			0.0			-1.0	-1.0
ENSG00000174233	EFO_0003767	expression_atlas	2023	0.005	0.042	expression_atlas	ADCY6	adenylate cyclase 6	protein_coding	O43306	0.0	0.0		0.0	0.0	1.0	-0.57136903521567	-0.21875	0.713185			-0.8034037090350737			-1.0	-1.0
ENSG00000177675	EFO_0003767	expression_atlas	2023	0.002	0.02	expression_atlas	CD163L1	CD163 molecule like 1	protein_coding	Q9NR16	0.0	0.0		0.0	0.0	0.0	-0.06022087934986453	0.0							0.5	0.0
ENSG00000189433	EFO_0003767	expression_atlas	2023	0.006	0.011	expression_atlas	GJB4	gap junction protein beta 4	protein_coding	Q9NTQ9	0.0	0.0		0.0	0.0	0.0	0.7818295478224631	0.0	0.32331000000000004			-0.43664574443225135			1.0	0.5
ENSG00000198853	EFO_0003767	expression_atlas	2023	0.003	0.027	expression_atlas	RUSC2	RUN and SH3 domain containing 2	protein_coding	Q8N2Y8	0.0	0.0		0.0	0.0	0.0	-0.8205876224213378	0.0	0.35026500000000027			-0.022060910089015118			-1.0	-1.0
ENSG00000223482	EFO_0003767	expression_atlas	2023	0.003	0.028	expression_atlas																				
ENSG00000091513	EFO_0003767	expression_atlas	2023	0.001	0.064	expression_atlas	TF	transferrin	protein_coding	P02787	0.0	1.0	-1.0	1.0	0.0	0.0	-0.19306105438633048	-0.03653250000000004	0.0			-0.7930889818863612			0.5	-1.0
ENSG00000100325	EFO_0003767	expression_atlas	2023	0.011	0.095	expression_atlas	ASCC2	activating signal cointegrator 1 complex subunit 2	protein_coding	Q9H1I8	0.0	0.0		0.0	0.0	0.0	-0.5650135444884351		0.346105			0.0			-1.0	-1.0
ENSG00000139651	EFO_0003767	expression_atlas	2023	0.004	0.035	expression_atlas	ZNF740	zinc finger protein 740	protein_coding	Q8NDX6	0.0	0.0		0.0	0.0	0.0	-0.24713481975411544	0.0	0.4818649999999998						-1.0	-1.0
ENSG00000148926	EFO_0003767	expression_atlas	2023	0.001	0.263	expression_atlas	ADM	adrenomedullin	protein_coding	P35318	0.0	1.0		0.0	1.0	0.0	0.3068347572410919	0.0	0.0			-0.964918212701816		0.5	0.5	-1.0
ENSG00000162231	EFO_0003767	expression_atlas	2023	0.005	0.044	expression_atlas	NXF1	nuclear RNA export factor 1	protein_coding	Q9UBU9	0.0	0.0		0.0	0.0	0.0	-0.741196082517191	0.0	0.555735						-1.0	-1.0
ENSG00000185133	EFO_0003767	expression_atlas	2023	0.001	0.199	expression_atlas	INPP5J	inositol polyphosphate-5-phosphatase J	protein_coding	Q15735	0.0	0.0		0.0	0.0	0.0	0.32027505730360484	0.0	0.10536999999999992			0.0			0.5	0.0
ENSG00000235865	EFO_0003767	expression_atlas	2023	0.008	0.063	expression_atlas																				
ENSG00000260173	EFO_0003767	expression_atlas	2023	0.003	0.144	expression_atlas																				
ENSG00000079263	EFO_0003767	expression_atlas	2023	0.015	0.176	expression_atlas	SP140	SP140 nuclear body protein	protein_coding	Q13342	0.0	0.0		0.0	0.0	0.0	-0.39456136695144817	0.0	0.0			-0.2968774632995319			0.75	0.0
ENSG00000114455	EFO_0003767	expression_atlas	2023	0.019	0.255	expression_atlas	HHLA2	HHLA2 member of B7 family	protein_coding	Q9UM44	0.0	0.0		0.0	0.0	0.0	0.11960825171910816	0.0							1.0	0.0
ENSG00000166348	EFO_0003767	expression_atlas	2023	0.015	0.128	expression_atlas	USP54	ubiquitin specific peptidase 54	protein_coding	Q70EL1	0.0	0.0		0.0	0.0	0.0	-0.43290268806001253	0.0	0.0			-0.6532164530709608			-1.0	-1.0
ENSG00000182952	EFO_0003767	expression_atlas	2023	0.005	0.044	expression_atlas	HMGN4	high mobility group nucleosomal binding domain 4	protein_coding	O00479	0.0	0.0		0.0	0.0	0.0	0.8765367784955198	-0.6666675000000002	0.0						-1.0	-1.0
ENSG00000273373	EFO_0003767	expression_atlas	2023	0.003	0.027	expression_atlas																				
ENSG00000109943	EFO_0003767	expression_atlas	2023	0.006	0.052	expression_atlas	CRTAM	cytotoxic and regulatory T cell molecule	protein_coding	O95727	1.0	0.0		0.0	0.0	0.0	0.3095436549281101	0.0	0.0			0.0			1.0	0.5
ENSG00000113916	EFO_0003767	expression_atlas	2023	0.004	0.11	expression_atlas	BCL6	BCL6 transcription repressor	protein_coding	P41182	0.0	0.0		0.0	1.0	1.0	-0.7159824963534069	0.0	0.7379600000000004			-0.9276483075583852	1.0		0.5	-1.0
ENSG00000135506	EFO_0003767	expression_atlas	2023	0.014	0.12	expression_atlas	OS9	OS9 endoplasmic reticulum lectin	protein_coding	Q13438	0.0	0.0		0.0	0.0	0.0	-0.1581579495728277	0.0	0.07796000000000021			0.0			-1.0	-1.0
ENSG00000164430	EFO_0003767	expression_atlas	2023	0.008	0.136	expression_atlas	CGAS	cyclic GMP-AMP synthase	protein_coding	Q8N884	0.0	0.0		0.0	1.0	1.0	0.44509272765159413	0.0	0.0			-0.7832278490212108	0.0		0.5	0.0
ENSG00000198830	EFO_0003767	expression_atlas	2023	0.021	0.173	expression_atlas	HMGN2	high mobility group nucleosomal binding domain 2	protein_coding	P05204	0.0	0.0		0.0	0.0	0.0	-0.5491769118566368	-0.6666675000000002							-1.0	-1.0
ENSG00000210176	EFO_0003767	expression_atlas	2023	0.002	0.096	expression_atlas																				
ENSG00000254911	EFO_0003767	expression_atlas	2023	0.01	0.088	expression_atlas																				
ENSG00000071575	EFO_0003767	expression_atlas	2023	0.01	0.24	expression_atlas	TRIB2	tribbles pseudokinase 2	protein_coding	Q92519	0.0	0.0		0.0	0.0	1.0	-0.8393415294853095	0.0	0.9125349999999998			-0.8181895526131974			-1.0	-1.0
ENSG00000081237	EFO_0003767	expression_atlas	2023	0.009	0.167	expression_atlas	PTPRC	protein tyrosine phosphatase receptor type C	protein_coding	P08575	0.0	0.0	-1.0	0.0	1.0	1.0	-0.8799749947905814	0.0	0.0			-0.8898810246155964		0.5	0.5	-1.0
ENSG00000099377	EFO_0003767	expression_atlas	2023	0.004	0.053	expression_atlas	HSD3B7	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	protein_coding	Q9H2F3	0.0	0.0		0.0	0.0	0.0	0.4818712231714941	0.0	0.33604500000000004			-0.7382538942927808			1.0	-1.0
ENSG00000104805	EFO_0003767	expression_atlas	2023	0.012	0.101	expression_atlas	NUCB1	nucleobindin 1	protein_coding	Q02818	0.0	1.0		0.0	0.0	0.0	-0.07303604917691187	0.0	0.38177999999999984			-0.8522007471095097			-1.0	-1.0
ENSG00000120885	EFO_0003767	expression_atlas	2023	0.001	0.126	expression_atlas	CLU	clusterin	protein_coding	P10909	0.0	1.0		0.0	0.0	0.0	-0.10022921441967081	0.0	0.0			-0.9206506011358581		0.75	0.5	-1.0
ENSG00000164855	EFO_0003767	expression_atlas	2023	0.001	0.039	expression_atlas	TMEM184A	transmembrane protein 184A	protein_coding	Q6ZMB5	0.0	0.0		0.0	0.0	0.0	0.5158366326317982	-0.01331749999999996	0.1404350000000001						0.5	0.0
ENSG00000169562	EFO_0003767	expression_atlas	2023	0.001	0.089	expression_atlas	GJB1	gap junction protein beta 1	protein_coding	P08034	1.0	0.0		0.0	0.0	0.0	-0.5140654302979788	0.0	0.9293300000000002			-0.7991308953191506			0.75	0.0
ENSG00000176387	EFO_0003767	expression_atlas	2023	0.011	0.218	expression_atlas	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2	protein_coding	P80365	0.0	0.0		0.0	1.0	1.0	-0.11544071681600332	0.0	0.12345499999999987			-0.884306395851755	0.0	1.0	0.75	0.0
ENSG00000210184	EFO_0003767	expression_atlas	2023	0.012	0.108	expression_atlas																				
ENSG00000255717	EFO_0003767	expression_atlas	2023	0.004	0.211	expression_atlas																				
ENSG00000278192	EFO_0003767	expression_atlas	2023	0.001	0.108	expression_atlas																				
ENSG00000101194	EFO_0003767	expression_atlas	2023	0.006	0.063	expression_atlas	SLC17A9	solute carrier family 17 member 9	protein_coding	Q9BYT1	0.0	0.0		0.0	0.0	0.0	0.5311523234007085	0.0	0.11696999999999988			-0.2431114717674604			0.5	0.0
ENSG00000163993	EFO_0003767	expression_atlas	2023	0.004	0.212	expression_atlas	S100P	S100 calcium binding protein P	protein_coding	P25815	0.0	0.0		0.0	0.0	0.0	0.8412169201917066	0.0							0.5	0.0
ENSG00000184178	EFO_0003767	expression_atlas	2023	0.008	0.066	expression_atlas	SCFD2	sec1 family domain containing 2	protein_coding	Q8WU76	0.0	0.0		0.0	0.0	0.0	0.3702854761408627	0.0	0.17397500000000007			-0.30744733073070546			-1.0	-1.0
ENSG00000196660	EFO_0003767	expression_atlas	2023	0.002	0.227	expression_atlas	SLC30A10	solute carrier family 30 member 10	protein_coding	Q6XR72	1.0	0.0		0.0	0.0	0.0	-0.8231923317357783	0.0	0.0			-0.8823010489809485			0.75	0.5
ENSG00000272636	EFO_0003767	expression_atlas	2023	0.003	0.21	expression_atlas	DOC2B	double C2 domain beta	protein_coding	Q14184	1.0	0.0		0.0	0.0	0.0	0.19024796832673463	-0.05946499999999997	0.7572800000000001						0.5	0.0
ENSG00000089169	EFO_0003767	expression_atlas	2023	0.001	0.064	expression_atlas	RPH3A	rabphilin 3A	protein_coding	Q9Y2J0	0.0	0.0		0.0	0.0	0.0	-0.5305271931652428	0.0	0.3876100000000001						1.0	0.0
ENSG00000131477	EFO_0003767	expression_atlas	2023	0.016	0.144	expression_atlas	RAMP2	receptor activity modifying protein 2	protein_coding	O60895	0.0	0.0		0.0	0.0	0.0	0.20202125442800578	0.0	0.0			-0.916994867325252		1.0	-1.0	0.0
ENSG00000150753	EFO_0003767	expression_atlas	2023	0.013	0.11	expression_atlas	CCT5	chaperonin containing TCP1 subunit 5	protein_coding	P48643	0.0	0.0		0.0	0.0	0.0	-0.9010210460512607	0.0	0.8151550000000001			-0.6616843125762031			-1.0	-1.0
ENSG00000171227	EFO_0003767	expression_atlas	2023	0.006	0.165	expression_atlas	TMEM37	transmembrane protein 37	protein_coding	Q8WXS4	0.0	0.0		0.0	0.0	0.0	0.7883934152948531		0.0			0.0			0.5	0.0
ENSG00000172216	EFO_0003767	expression_atlas	2023	0.001	0.214	expression_atlas	CEBPB	CCAAT enhancer binding protein beta	protein_coding	P17676	0.0	0.0	-1.0	0.0	0.0	0.0	0.14398833090227137	0.0	0.0			-0.9292340273619609			-1.0	-1.0
ENSG00000175497	EFO_0003767	expression_atlas	2023	0.001	0.243	expression_atlas	DPP10	dipeptidyl peptidase like 10	protein_coding	Q8N608	1.0	0.0		0.0	0.0	0.0	-0.9125859554073765	0.0	0.3781399999999998						0.75	0.5
ENSG00000234883	EFO_0003767	expression_atlas	2023	0.008	0.09	expression_atlas					0.0	0.0														
ENSG00000102837	EFO_0003767	expression_atlas	2023	0.007	0.324	expression_atlas	OLFM4	olfactomedin 4	protein_coding	Q6UX06	1.0	1.0		0.0	0.0	0.0	0.23546572202542193	0.0	0.0			-0.19734394579047826			0.5	0.0
ENSG00000121807	EFO_0003767	expression_atlas	2023	0.002	0.062	expression_atlas	CCR2	C-C motif chemokine receptor 2	protein_coding	P41597	1.0	0.0		0.0	1.0	1.0	0.08251719108147526	-0.29861000000000004	0.0			-0.9655250522119624	1.0	0.75	0.5	0.0
ENSG00000162396	EFO_0003767	expression_atlas	2023	0.003	0.021	expression_atlas	PARS2	prolyl-tRNA synthetase 2, mitochondrial	protein_coding	Q7L3T8	0.0	0.0		0.0	0.0	0.0	-0.0338612210877266	0.0	0.09473500000000001						-1.0	0.0
ENSG00000162493	EFO_0003767	expression_atlas	2023	0.008	0.344	expression_atlas	PDPN	podoplanin	protein_coding	Q86YL7	1.0	0.0		0.0	0.0	0.0	0.2954782246301313		0.0			-0.9461831235681872			0.5	0.0
ENSG00000169715	EFO_0003767	expression_atlas	2023	0.009	0.147	expression_atlas	MT1E	metallothionein 1E	protein_coding	P04732	0.0	0.0		0.0	0.0	0.0	0.8525734528026672	0.0							0.5	-1.0
ENSG00000170473	EFO_0003767	expression_atlas	2023	0.008	0.067	expression_atlas	PYM1	PYM homolog 1, exon junction complex associated factor	protein_coding	Q9BRP8	0.0	0.0		0.0	0.0	0.0	0.10668889351948319		0.485295						-1.0	-1.0
ENSG00000173486	EFO_0003767	expression_atlas	2023	0.004	0.037	expression_atlas	FKBP2	FKBP prolyl isomerase 2	protein_coding	P26885	1.0	0.0		0.0	0.0	1.0	0.22056678474682223	0.0							-1.0	-1.0
ENSG00000177628	EFO_0003767	expression_atlas	2023	0.002	0.018	expression_atlas	GBA1	glucosylceramidase beta 1	protein_coding	P04062	0.0	0.0		1.0	1.0	1.0	-0.13554907272348404		0.16045000000000015			-0.9582550712373289		0.5	-1.0	-1.0
ENSG00000197566	EFO_0003767	expression_atlas	2023	0.002	0.017	expression_atlas	ZNF624	zinc finger protein 624	protein_coding	Q9P2J8	0.0	0.0		0.0	0.0	0.0	-0.5131277349447801	0.0							-1.0	0.0
ENSG00000249087	EFO_0003767	expression_atlas	2023	0.001	0.085	expression_atlas											0.8778912273390289									
ENSG00000279249	EFO_0003767	expression_atlas	2023	0.002	0.098	expression_atlas																				
